exp_id	status	objective	command_summary	code_summary	train_batch_tokens	train_seq_len	grad_accum_steps	max_wallclock_seconds	peak_mem_mib	steps_reached	pre_quant_val_bpb	post_quant_val_bpb	ttt_val_bpb	artifact_bytes	notes
smoke_001	complete	end-to-end port smoke with conservative batch	torchrun nproc=1, ITERATIONS=2, TTT=0, EVAL_STRIDE=0	record port + single-GPU knobs	262144	2048	8	0	7585	2	4.1028	4.10604768		4578084	completed useful metrics, then hung after final roundtrip metric; remote process killed manually
smoke_002	complete	end-to-end port smoke with quarter batch	torchrun nproc=1, ITERATIONS=2, TTT=0, EVAL_STRIDE=0	record port + single-GPU knobs	131072	2048	8	0	4087	2	4.1029	4.10604872		4577956	completed useful metrics, then hung after final roundtrip metric; remote process killed manually
traj_001	complete	first 600s training trajectory on RTX A5000	torchrun nproc=1, 600s cap, WARMUP_STEPS=20, TTT=0, EVAL_STRIDE=0	record port + single-GPU knobs	131072	2048	8	600	4084	887	1.4972	2.15640728		6704096	stop-time standard eval beat post-EMA eval; export path currently degrades quality significantly
avgctrl_smoke_001	complete	verify raw final-averaging control	torchrun nproc=1, ITERATIONS=2, EMA=0, SWA=0, FINAL_AVERAGING=raw	record port + explicit averaging controls	131072	2048	8	0	3983	2	4.1029	4.10451810		4585030	raw stop-time path confirmed; diagnostic matches stop-time metric exactly
